,Date,Name,Budget
0,"Dec 17, 1993",The Pelican Brief," $45,000,000"
1,"Aug 11, 2004",The Princess Diaries 2: Royal Engagement," $45,000,000"
2,"Dec 25, 2007",The Bucket List," $45,000,000"
3,"Jul 20, 1994",The Client," $45,000,000"
4,"Nov 23, 2011",The Muppets," $45,000,000"
5,"Jun 5, 1992",Patriot Games," $45,000,000"
6,"May 13, 2005",Monster-in-Law," $45,000,000"
7,"Oct 5, 2001",Training Day," $45,000,000"
8,"Oct 5, 2016",The Girl on the Train," $45,000,000"
9,"Dec 24, 1999",Galaxy Quest," $45,000,000"
10,"Jul 4, 2001",Scary Movie 2," $45,000,000"
11,"Aug 21, 1998",Blade," $45,000,000"
12,"Jan 14, 2005",Coach Carter," $45,000,000"
13,"Mar 19, 2010",The Bounty Hunter," $45,000,000"
14,"Apr 12, 2002",Changing Lanes," $45,000,000"
15,"Apr 11, 1997",Anaconda," $45,000,000"
16,"Jan 20, 2006",Underworld: Evolution," $45,000,000"
17,"Nov 22, 2019",A Beautiful Day in the Neighborhood," $45,000,000"
18,"Aug 4, 2000",Coyote Ugly," $45,000,000"
19,"Nov 7, 2003",Love Actually," $45,000,000"
20,"Aug 9, 1996",Jack," $45,000,000"
21,"Oct 7, 1994",The Specialist," $45,000,000"
22,"Dec 8, 2016",Office Christmas Party," $45,000,000"
23,"Aug 16, 1996",Tin Cup," $45,000,000"
24,"Nov 23, 2005","Yours, Mine and Ours"," $45,000,000"
25,"May 13, 2005",Kicking and Screaming," $45,000,000"
26,"Apr 29, 2005",The Hitchhiker's Guide to the Galaxy," $45,000,000"
27,"Sep 21, 2007",Resident Evil: Extinction," $45,000,000"
28,"Dec 25, 2004",Fat Albert," $45,000,000"
29,"Jul 6, 2012",Savages," $45,000,000"
30,"Sep 30, 1994",The River Wild," $45,000,000"
31,"May 22, 2014",Blended," $45,000,000"
32,"Jun 15, 2016",All Eyez on Me," $45,000,000"
